,county,pop_total,unemployment_rate,income,temp
99,"Hartford County, Connecticut",899498,0.05,66395,65.6
100,"Litchfield County, Connecticut",185186,0.048,72061,63.2
101,"Middlesex County, Connecticut",164245,0.048,79893,66.3
102,"New Haven County, Connecticut",864835,0.064,61640,66.8
103,"New London County, Connecticut",268555,0.048,66233,66.2
104,"Tolland County, Connecticut",149788,0.039,79626,64.3
105,"Windham County, Connecticut",116418,0.052,59392,64.4
106,"Kent County, Delaware",181851,0.047,54976,70.9
107,"New Castle County, Delaware",570719,0.048,65476,70.2
108,"Sussex County, Delaware",237378,0.042,53751,71.4
109,"Alachua County, Florida",278468,0.044,43073,79.6
110,"Bay County, Florida",175216,0.0409999999999999,47368,78.0
111,"Brevard County, Florida",606612,0.0559999999999999,48925,80.7
112,"Broward County, Florida",1944375,0.048,51968,81.8
113,"Charlotte County, Florida",186847,0.039,44244,82.0
114,"Citrus County, Florida",153843,0.09,38312,80.7
115,"Clay County, Florida",218245,0.045,58290,79.0
116,"Collier County, Florida",375752,0.03,57452,82.1
117,"Columbia County, Florida",69698,0.088,41926,78.1
118,"Duval County, Florida",995567,0.046,47690,78.7
119,"Escambia County, Florida",321905,0.065,45390,77.0
120,"Flagler County, Florida",115378,0.0289999999999999,47866,80.0
121,"Hernando County, Florida",194515,0.045,40945,80.8
122,"Highlands County, Florida",101235,0.052,35093,80.8
123,"Hillsborough County, Florida",1459762,0.043,50579,81.8
124,"Indian River County, Florida",159788,0.063,45798,80.3
125,"Lake County, Florida",383956,0.049,46403,81.2
126,"Lee County, Florida",760822,0.045,48537,82.6
127,"Leon County, Florida",292198,0.07,46745,77.3
128,"Manatee County, Florida",399710,0.065,49675,81.3
129,"Marion County, Florida",375908,0.064,39459,80.3
130,"Martin County, Florida",158431,0.054,51593,80.8
131,"Miami-Dade County, Florida",2701767,0.035,43129,82.1
132,"Monroe County, Florida",82874,0.027,57290,82.6
133,"Nassau County, Florida",90352,0.033,54116,77.7
134,"Okaloosa County, Florida",211668,0.034,55880,77.0
135,"Orange County, Florida",1429908,0.04,47943,81.5
136,"Osceola County, Florida",388656,0.04,44254,81.3
137,"Palm Beach County, Florida",1492191,0.052,53363,81.2
138,"Pasco County, Florida",561891,0.042,45064,81.2
139,"Pinellas County, Florida",959107,0.051,45819,82.2
140,"Polk County, Florida",725046,0.043,43162,81.6
141,"Putnam County, Florida",73321,0.055,31715,79.8
142,"St. Johns County, Florida",273425,0.0559999999999999,66194,79.7
143,"St. Lucie County, Florida",329226,0.039,43459,80.4
144,"Santa Rosa County, Florida",188000,0.047,58923,76.4
145,"Sarasota County, Florida",434006,0.033,51766,81.4
146,"Seminole County, Florida",470856,0.039,57010,81.2
147,"Sumter County, Florida",129752,0.048,50350,80.9
148,"Volusia County, Florida",553543,0.038,41117,80.5
149,"Walton County, Florida",75305,0.032,44966,77.1
150,"Barrow County, Georgia",83505,0.045,52012,71.2
151,"Bartow County, Georgia",108901,0.045,48893,70.6
152,"Bibb County, Georgia",157346,0.074,36519,74.4
153,"Bulloch County, Georgia",81099,0.06,36032,75.6
154,"Carroll County, Georgia",119148,0.085,43586,71.0
155,"Catoosa County, Georgia",67872,0.034,50876,70.9
156,"Chatham County, Georgia",295291,0.061,47218,76.2
157,"Cherokee County, Georgia",266620,0.027,68926,69.9
158,"Clarke County, Georgia",128671,0.046,32162,72.0
